chunk,Question,Answer,Cluster_labels,index
"Experimental SectionMaterials: Copper acetate, phosphate-buffered saline (PBS 10x), pure ethyl alcohol, perfluorooctanoic acid (PFOA) and perfluorooctanesulfonic acid (PFOS) (40% in water) were purchased from Sigma Aldrich and used as received. Hexahydroxy triphenylene (HHTP) was purchased from ACROS Organics. Copper acetate and HHTP were first dissolved in ethanol (1 mM and 0.1 mM, respectively) and allowed to stir for at least 30 mins at ambient. Phosphatebuffered saline (10x) was used to obtain 0.1x after dilution using distilled water. PFOA was first dissolved in distilled water and allowed to stir overnight before use. PFOS stock solution was used as received. Different concentrations of PFAS were obtained by diluting dissolved PFOA and stock PFOS in PBS.Substrate treatment: Glass substrates with ITO-stripes were first sonicated in water, acetone, and isopropanol successively for 5 mins then dried with pure N2. The cleaned substrates were then treated under UV-ozone lamp for 30 mins. This contrasted with harsher (piranha treatment) alternative which tends to etch away the ITO. Using the more benign surface treatment allowed to pre-determine the film growth area by covering the undesired areas with acrylic tape. The ozone treated substrates were then immediately immersed into the salt solution for film growth.MOF film growth: A 1 mM solution of copper acetate was first pulled over treated substrates and allowed adhere onto the surface for 10 mins. The substrates were then carefully rinsed by dipping in fresh ethanol before being transferred into another container with a 0.1 mM solution of HHTP ligand in ethanol. The ligand exchange on the substrate surface was then allowed to proceed for 20 minutes without disturbance at ambient. After rinsing off unreacted ligands with fresh ethanol, the dipping steps were repeated to desired film thickness. The films",Why was UV-ozone treatment used instead of the harsher piranha treatment for treating glass substrates?,"UV-ozone treatment was used instead of the harsher piranha treatment because it allowed pre-determining the film growth area by covering the undesired areas with acrylic tape, whereas the piranha treatment tends to etch away the ITO.","['Metal organic frameworks', 'Sensing and detection']",
"Discussion of Reaction MechanismThe outcomes derived from the photocatalytic experiments demonstrate the efficacy of UiO-66-NDC in decomposing the designated organic dyes. The superior photocatalytic performance of UiO-66-NDC can be ascribed to its distinctive attributes, such as elevated specific surface area, porous configuration, and the existence of active sites for the degradation of dyes. The h + vb + H2O ⇄ H + + . OH (5)h + vb + OH -⇄ . OH(6)e -cb + O2 ⇄ O2 -UiO-66-NDC exhibits significant photocatalytic efficacy for the degradation of the dyes RO16, MO, and RhB, with respective efficiencies of 97%, 99%, and 91%. Photocatalysis is characterized by the generation of reactive oxygen species (ROS) that initiate oxidation reactions leading to the degradation of dye molecules. Several factors, including the molecular weight, dye structure, and unique characteristics of UiO-66-NDC, can impact the efficacy of dye removal. Optimal results were achieved with a catalyst concentration of 300 mg/L, as higher dosages led to reduced efficiency due to particle agglomeration and decreased light access to active sites.Higher initial dye concentrations also resulted in reduced removal rates due to increased competition for reactive radicals. The study highlighted the importance of understanding initial dye concentration for wastewater treatment. The study assessed UiO-66-NDC's reusability, showing a gradual decline in catalytic efficiency with each cycle due to active site depletion.Despite this, it demonstrated environmental sustainability and economic feasibility for water remediation, with some limitations in long-term reuse. Kinetic studies supported the applicability of a pseudo-first-order kinetic model, indicating the catalyst's effectiveness and recyclability.Reactive oxygen species (ROS) played a",To what can the superior photocatalytic performance of UiO-66-NDC be ascribed?,"Elevated specific surface area, porous configuration, and the existence of active sites for the degradation of dyes","['Metal organic frameworks', 'Catalytic applications']",
"type=""bibr"" target=""#b25"">[26] and the effect is reproducible in molecular dynamics (MD) simulations. For certain ions, a surface propensity is evident in the potential of mean force corresponding to moving the ion through the air/water interface and into bulk water. The trend is illustrated by the halides: I -(aq) and Br -(aq) exhibit a clear preference for the interface whereas Cl -(aq) is something of an intermediate case, and F -(aq) exhibits no surface propensity whatsoever. Chemical hardness, which is distinct from polarizability, ",How does the surface propensity of I-(aq) compare to that of F-(aq) at the air/water interface?,"I-(aq) exhibits a clear preference for the interface, whereas F-(aq) exhibits no surface propensity whatsoever.","['Quantum and theoretical chemistry', 'Theoretical methods']",
"Fluorescence detection under harsh conditionsDue to the highly-chemical stability of JUC-557-nanosheet, we further studied its fluorescence sensing and selective recognition for NB under harsh conditions, such as strong acidic (pH = 1) and strong alkali (pH = 14) solutions (H 2 O vs. EtOH = 9: 1). As shown in Supplementary Figs. 97-100, the fluorescence quenching percentages (100% in pH =1 and 98% in pH =14, respectively) and K a values (9.18 × 10 6 M - 1 at pH = 1 and 5.22 × 10 6 M -1 at pH = 14, respectively) were almost unchanged in such harsh chemical environment. On the contrary, the fluorescence intensity of most of imine-linked carbazole-based COFs, such as BCTB-PD COF, BCTB-BCTA COF, and BCTA-TP COF, declined significantly under these harsh conditions because of protonation or deprotonation of imine-linked frameworks. In addition, luminous MOFs are usually unstable in water, strong acidic and alkaline environments. Therefore, these results indicate that such functional COF materials would be an excellent candidate for chemically stable fluorescent indicators.",How does the fluorescence quenching percentage of JUC-557-nanosheet at pH 1 compare to its quenching percentage at pH 14?,The fluorescence quenching percentage at pH 1 is slightly higher than at pH 14.,"['Metal organic frameworks', 'Sensing and detection']",
"61 for EtnFc attached to N3C16SH/D-C12SH/D modified Au electrode. Interestingly in the case of N3C16SH/D-C16SH/D mixed SAM an inverse KIE is detected with a value of 0.25. To further confirm the fact that tunneling is faster in y = -53.773x + 352.24 R²deuterated SAM, H/D exchange is performed in-situ (Fig.S7).With increasing, the time of incubation of the EtnFc bound deuterated SAM in H2O, the Ep value increases indicating a decrease in ET rate upon deuterium exchange with proton. Note that, any defect in the SAM upon incubation would have made the ET faster not slower. The KIE for the ET from the modified Au electrode to the EtnFc moiety attached to it is also calculated from the respective kapp values for these two different mixed SAMs. The KIE value is found to be dependent on the applied overpotential and in contrast to the N3C11SH/D-C8SH/D mixed SAM, the N3C16SH/D-C12SH/D mixed SAM, show opposite trends in change of KIE with overpotential. (Fig.S11) With increasing overpotential, the KIE gets more prominent with lowest KIE value obtained at lowest overpotential. Table 1 :1Comparison of kapp and k 0 of ET for EtnFc bound different mixed self-assembled monolayers on Au with both in protonated (blue) and deuterated (red) version. Reported values of the same (whenever applicable) mentioned in {} with italics style. the N3C11SH/D-C8SH/D and N3C16SH/D-C12SH/D SAM exhibit normal isotope effects on kET, N3C16SH/D-C16SH/D Fig 5 :5Fig 5: Tafel plot for (A)N3C11SH-C8SH (B) N3C16SH-C12SH and (C) N3C16SH-C16SH SAM-modified Au electrodes. The corresponding rates are calculated using chronoamperometric techniques.",What is detected with a value of 0.25 in the case of N3C16SH/D-C16SH/D mixed SAM?,An inverse kinetic isotope effect (KIE),"['Quantum and theoretical chemistry', 'Quantum effects']",
"Coarse-grained models for simulating protein aggregationMolecular simulations are a powerful tool that, given validation of observables produced by the simulations against experimentally measured values, can be used to develop mechanistic descriptions of chemical phenomena. For example, Antonschmidt et al. used solid-state NMR (ssNMR) to discover atomic resolution data on aggregation intermediates in the presence of phospholipid membranes . This revealed that the formation of two loop regions (residues 58 to 61 and 71 to 80) initiates α-synuclein fibril formation. Siposova et al. were able to develop amyloid-disassembling fullerenes dispersed on insulin and lysozyme amyloid fibrils . The results were investigated using spectrofluorometry, atomic force microscopy (AFM), and small-angle neutron scattering (SANS). In another study, Nguyen et al. used atomistic molecular dynamics to explore the membraneassociated conformation ensemble of a tau R3-R4 dimer . It was discovered that a specific domain was forming an amyloid core, like one would expect to find in the brain of a patient with Alzheimers. Although experimental techniques like NMR and x-ray crystallography are commonly combined with atomistic molecular simulations for structural elucidation of amyloid fibril structures, such methods are best suited to resolving fully equilibrated structures, not the transient intermediate structures that serve as precursors to mature amyloid fibrils. The timescales attainable by atomistic molecular dynamics simulations are many orders of magnitude shorter (roughly 10 9 ) than the timescales at which amyloid fibrils form. While enhanced sampling techniques for atomistic molecular dynamics simulations can be used to extend the temporal reach of atomistic molecular dynamics simulations <ref",How do the timescales of atomistic molecular dynamics simulations compare to the timescales at which amyloid fibrils form?,The timescales attainable by atomistic molecular dynamics simulations are many orders of magnitude shorter than the timescales at which amyloid fibrils form.,"['Biomedical engineering and technology', 'Regenerative medicine']",
"Genetic algorithm performance initialized from randomly chosen model parametersHere, we test the conjecture, based in prior work on network stability , that searching within the convex hull and surrounding regions in parameter space bounded by low fibril fraction producing parameters can be fertile ground for identifying higher fibril fraction parameterizations of a given network Hamiltonian model. Given this motivation, a hypersphere of randomly distributed points in parameter space for a network Hamiltonian with sufficient statistics φ e , φ 2s , φ NSP1 , and φ NSP2 was generated for 10,000 points in parameter space. Single simulations were run for all parameters, and though most produced zero fibril fraction, a select few did produce some fibrillar structure. In order to showcase the robustness of the genetic algorithm, the four lowest non-zero fibril fraction parameters were selected as generation zero (fibril fractions of 0.04, 0.02, 0.02, and 0.02). After completing 10 generations of evolution using the genetic algorithm, the process converged upon producing multiple generations capable of consistently producing fibril fractions in excess of .6 (Figures and). It should also be noted that, in order reduce the 4-D parameter space to a visualizable 3-D space, the edge parameter was held constant at θ e = 100 throughout the evolution for this demonstration. . This 3D point plot shows the evolution of different generations of models as the genetic algorithm converges on a region of parameter space that produces maximal fibril yield for 2-ribbon type amyloid fibril structures. The cool color palette signifies the generation, with the deepest blues representing the latest generations. The warm color palette signifies the fibril yield for the top 20 fibril-producing parameters",After completing how many generations of evolution using the genetic algorithm did the process converge upon producing multiple generations capable of consistently producing fibril fractions in excess of .6?,10 generations,"['Biomedical engineering and technology', 'Regenerative medicine']",
"Suhito et al. have shown that the differentiation of adipose-derived mesenchymal stem cells to osteoblasts or adipocytes can be detected by an increase in the peak at 960 cm -1 or 2900 cm -1 , respectively, due to the synthesis of bone minerals and fats . This motivated us to employ single-cell Raman spectroscopy for the location-specific identification of HSC fate decisions in microarrays. However, because immature populations of hematopoietic cells do not produce biomolecules that create new Raman peaks as they differentiate , we use partial least square-discriminant analysis (PLS-DA) to identify the between-population spectral variability that is most useful for identification of cell differentiation stage. We have established that the combination of Raman spectroscopy and PLS-DA enables accurate (≤ 10% error) identification of the differentiation stages of chemically fixed cells from four different hematopoietic cell populations, including the two primitive and closely related stem cell populations, LT-HSC and short term (ST)-HSC, and the two fully committed populations, granulocytes and B cells . Encouraged by this success, we are working to develop a microarray screening platform that is compatible with acquiring single-cell Raman spectra that may be used to identify HSC fate decisions.The first step for creating the envisioned microarray screening platform is to identify a substrate that is compatible with both single-cell Raman spectroscopy and the chemistries that are commonly used for biomaterial microarray fabrication. The weak nature of Raman spectroscopy and similarities in the spectra from cells of different phenotypes calls for a Raman substrate that maximizes the Raman scattering that is detected from live cells while minimizing",Is the error rate in identifying the differentiation stages of LT-HSC and ST-HSC similar to that of granulocytes and B cells using Raman spectroscopy combined with PLS-DA?,"Yes, the error rate in identifying the differentiation stages of both primitive (LT-HSC and ST-HSC) and fully committed (granulocytes and B cells) hematopoietic cell populations is similar and is ≤ 10%.","['Biomedical engineering and technology', 'Regenerative medicine']",
"CASSCF calculationsState-averaged CASSCF calculations for the anion in 1 were performed with MOLCAS 8.0 (ref. 21). We used basis sets from the ANO-RCC library with VTZP quality for the Y ion, VDZP quality for the Cp ring carbon atoms, and VDZ quality for all other atoms. The two electron integrals were Cholesky decomposed with a threshold of 10 -8 . We employed an active space of 7 electrons in 16 orbitals (Figs. S30 -S35 and Table for the crystalline geometry; near-identical results obtained for the optimised geometry), which was optimised for the 10 lowest-lying states (Table S16 -S25 for the crystalline geometry; near-identical results obtained for the optimised geometry).         Fig. 1 . 4 .14Fig. 1. Molecular structures in the crystal. a. The [Y(Cp¢) 3 ] -anion in 1. b. The [Sc{(N(SiMe 3 ) 2 } 3 ] anion in 4. Grey unlabelled atoms are carbon; blue unlabelled atoms are nitrogen. H-atoms omitted for clarity. 8 2 7 for 1 @ 5 1 , 2 , 3 and 4 .8715124Fig.",With what were the state-averaged CASSCF calculations for the anion in 1 performed?,MOLCAS 8.0,"['Quantum and theoretical chemistry', 'Quantum computing']",
"X-ray Photoelectron SpectroscopyFigure shows X-ray photoelectron (XP) spectra of the azupyrene and pyrene films. The C1s signals are centered at 284.66 eV for azupyrene and 284.81 eV for pyrene with respect to the Fermi energy EF. The azupyrene peak shows a larger width (full width at half maximum, FWHM = 1.16 eV) and is slightly asymmetric with a shoulder at the high binding energy side. The pyrene peak is symmetric and has a smaller width (FWHM = 0.94 eV). The differences in peak shape and peak width can be explained with the help of DFT calculations, which provide the binding energies for the individual carbon atoms in the molecules. For this purpose, the core-electron binding energies were calculated with a localized core-hole in a SCF scheme and compared to the experimental data by way of a fitting procedure. In this procedure, the relative binding energies and relative intensities (given by the number of symmetry equivalent carbon atoms) were taken as fixed parameters forming the overall theoretical C 1s peak of the molecule as sum over the equivalent carbon sub peaks, each represented by a pseudo-Voigt peak. The single-peakwidth and the Gaussian-to-Lorentzian ratio were constricted to be equal for all sub peaks and were parameters of the fit procedure together with the overall intensity and a global energy shift. As can be seen in Figure ,b, the agreement between experiment and theory is remarkably good, allowing us to explain the peak shape based on the theoretical model. According to this analysis, the asymmetry of the azupyrene peak is caused by the more distinctly different chemical environments of its carbon atoms. Especially the signal related to the carbon atoms in the central bridge (blue in Figure ) is",At what energy are the C1s signals for azupyrene centered with respect to the Fermi energy EF?,284.66 eV,"['Spectroscopy', 'Optical spectroscopy']",
