headline,content,sentiment_label
Lacroix label bought by US firm,,Neutral
GE sees 'excellent' world economy,,Positive
Yukos unit fetches $9bn at auction,,Neutral
Strong quarterly growth for Nike,,Positive
Brussels raps mobile call charges,,Neutral
Arsenal 'may seek full share listing',,Neutral
Latin America sees strong growth,,Positive
Jobs go at Oracle after takeover,,Neutral
Verizon 'seals takeover of MCI',,Neutral
Nissan names successor to Ghosn,,Neutral
'Standoff' on Deutsche's LSE bid,,Neutral
Takeover offer for Sunderland FC,,Neutral
Quiksilver moves for Rossignol,,Neutral
Qatar and Shell in $6bn gas deal,,Neutral
Electronics firms eye plasma deal,,Neutral
Orange colour clash set for court,,Neutral
Jarvis sells Tube stake to Spain,,Neutral
Cairn Energy in Indian gas find,,Neutral
Macy's owner buys rival for $11bn,,Neutral
Mitsubishi in Peugeot link talks,,Neutral
US firm 'bids for Lacroix label',,Neutral
EU-US seeking deal on air dispute,,Neutral
LSE 'sets date for takeover deal',,Neutral
Man Utd to open books to Glazer,,Neutral
Absa and Barclays talks continue,,Neutral
Takeover rumour lifts Exel shares,,Neutral
Tokyo says deflation 'controlled',,Neutral
Q&A: Malcolm Glazer and Man Utd,,Neutral
Diageo to buy US wine firm,,Neutral
Bank set to leave rates on hold,,Neutral
"Argentina, Venezuela in oil deal",,Neutral
US economy shows solid GDP growth,,Positive
Euronext joins bid battle for LSE,,Neutral
Glazer makes new Man Utd approach,,Neutral
Deadline nears for Fiat-GM deal,,Neutral
Bank opts to leave rates on hold,,Neutral
Fiat mulls Ferrari market listing,,Neutral
Renault boss hails 'great year',,Positive
